td_browser,td_color,td_ip,td_version,td_client_id,td_os_version,td_browser_version,td_viewport,td_charset,td_os,td_screen,td_language,td_global_id,td_platform,td_user_agent,td_fingerprint_id,td_title,td_description,td_url,td_host,td_path,td_referrer,time
Chrome,24-bit,202.228.139.164,1.3.0,f29dc4ae-500c-433c-c0b5-19728e780be6,,60.0.3112,1707x815,utf-8,Windows 7,1536x864,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo Switch Online � Nintendo Switch� Official site � Online gaming, 
multiplayer, voice chat","Learn about the upcoming paid online service coming to the Nintendo Switch� 
system.",https://www.nintendo.com/switch/online-service/,"Nintendo Switch Online � Nintendo Switch� Official site � Online gaming, 
multiplayer, voice chat","Nintendo Switch Online � Nintendo Switch� Official site � Online gaming, 
multiplayer, voice chat",https://www.google.com,1531110551
Chrome Mobile,32-bit,199.0.198.133,1.7.2,59bcf6a5-29ec-46de-ad91-ba9aaa8481cb,7,60.0.3112.116,360x544,utf-8,Android,360x640,en-us,e5797fb0-9b01-408a-92f3-67121c8bb8f3,Linux armv7l,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Overview � Nintendo 3DS� family of systems � Details and info,"Find out what the Nintendo 3DS family of systems can do. Explore games, 
included software, fun ways to connect, and more!",https://www.nintendo.com/3ds/overview,Overview � Nintendo 3DS� family of systems � Details and info,Overview � Nintendo 3DS� family of systems � Details and info,(direct),1531112024
Chrome,24-bit,211.126.214.49,1.3.0,ec7a52bd-b09b-4443-acfb-ab967b47da91,10.11.6,60.0.3112,1920x943,utf-8,Mac OS X,1280x800,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,(direct),1531110543
Chrome,24-bit,38.99.25.193,1.3.0,b30b55f4-284b-4447-9323-b87ca57a1330,,61.0.3163,1902x892,utf-8,Windows,1920x1080,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Country Selector - Official Site,"Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/countryselector,Nintendo Country Selector - Official Site,Nintendo Country Selector - Official Site,(direct),1531112093
Chrome,24-bit,38.140.133.130,1.7.2,18259449-c8da-417f-d42b-1003f7d77a84,10.12.6,59.0.3071,1343x730,utf-8,Mac OS X,1440x900,en-us,79d9767d-8009-45ad-aa4d-934d21fbe3ea,MacIntel,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/order-confirmation/,"Nintendo - Official Site - Video Game Consoles, Games","Nintendo - Official Site - Video Game Consoles, Games",https://www.google.com,1531110173
Chrome,24-bit,153.156.42.159,1.3.0,379cacab-5661-45d9-b8bb-0109a3c11993,10.10.5,60.0.3112,1294x732,utf-8,Mac OS X,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,"Get answers to the most frequently asked questions about the New Nintendo 
3DS handheld system in the official FAQ from Nintendo.",https://www.nintendo.com/3ds/faq,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,New Nintendo 3DS XL - Frequently Asked Questions - FAQ,https://www.facebook.com,1531109809
Chrome,24-bit,202.19.228.74,1.3.0,4d0d4815-954f-4866-d06e-dda112f0dd61,,60.0.3112,1354x626,utf-8,Windows 7,1366x768,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Nintendo Country Selector - Official Site,"Nintendo - Official Site - Video Game Consoles, Games",https://www.nintendo.com/countryselector,Nintendo Country Selector - Official Site,Nintendo Country Selector - Official Site,(direct),1531112103
Chrome,24-bit,124.32.238.250,1.3.0,d488911c-07e7-44f2-98fc-937ae360a583,,60.0.3112,1430x938,utf-8,Windows 7,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,Game Guide - Nintendo Game Store,"Search for games for Nintendo 3DS and Nintendo 2DS, Wii U, and Wii 
consoles, and find out where to purchase. Filter by age range, genre, 
character, and more.",https://www.nintendo.com/games/game-guide,Game Guide - Nintendo Game Store,Game Guide - Nintendo Game Store,https://www.facebook.com,1535693925
Chrome,24-bit,76.220.33.47,1.3.0,b2888848-69e8-48e8-dae6-cfe8d713dd7e,10.12.2,60.0.3112,1280x726,utf-8,Mac OS X,1280x800,en-us,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Game Releases - Nintendo Game Store,"Take a look at upcoming video game releases for the Nintendo Switch, 
Nintendo 3DS, and Virtual Console.",https://www.nintendo.com/games/coming-soon,New Game Releases - Nintendo Game Store,New Game Releases - Nintendo Game Store,(direct),1535691997
Chrome,24-bit,39.110.217.195,1.3.0,78f5f472-1662-4992-8017-5b8821768e42,,60.0.3112,1920x990,utf-8,Windows 7,1920x1080,ja,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,,New Game Releases - Nintendo Game Store,"Take a look at upcoming video game releases for the Nintendo Switch, 
Nintendo 3DS, and Virtual Console.",https://www.nintendo.com/games/coming-soon,New Game Releases - Nintendo Game Store,New Game Releases - Nintendo Game Store,(direct),1535693608
